Model,File,Total,Valid,Removed,Empty,Short(<0.1),Long(>4.0),Kana(>20)
claude-haiku-4-5-20251001,dataset_Long_run1.jsonl,100,100,0,0,0,0,0
claude-haiku-4-5-20251001,dataset_Short_run1.jsonl,100,100,0,0,0,0,0
claude-haiku-4-5-20251001-thinking,dataset_Long_run1.jsonl,100,100,0,0,0,0,0
claude-haiku-4-5-20251001-thinking,dataset_Short_run1.jsonl,100,100,0,0,0,0,0
claude-opus-4-5-20251101,dataset_Long_run1.jsonl,100,100,0,0,0,0,0
claude-opus-4-5-20251101,dataset_Short_run1.jsonl,100,100,0,0,0,0,0
claude-sonnet-4-5-20250929,dataset_Long_run1.jsonl,100,99,1,0,0,0,1
claude-sonnet-4-5-20250929,dataset_Short_run1.jsonl,100,96,4,0,0,0,4
deepseek-v3-1-think-250821,dataset_Long_run1.jsonl,100,84,16,0,0,0,16
deepseek-v3-1-think-250821,dataset_Short_run1.jsonl,100,96,4,0,0,0,4
deepseek-v3.1,dataset_Long_run1.jsonl,100,53,47,0,0,0,47
deepseek-v3.1,dataset_Short_run1.jsonl,100,63,37,0,0,0,37
deepseek-v3.2,dataset_Long_run1.jsonl,100,76,24,0,0,0,24
deepseek-v3.2,dataset_Short_run1.jsonl,100,92,8,0,0,0,8
deepseek-v3.2-thinking,dataset_Long_run1.jsonl,100,99,1,0,0,0,1
deepseek-v3.2-thinking,dataset_Short_run1.jsonl,100,100,0,0,0,0,0
Dolphin3.0-R1-Mistral-24B,dataset_Long_run1.jsonl,100,88,12,0,0,0,12
Dolphin3.0-R1-Mistral-24B,dataset_Short_run1.jsonl,100,95,5,0,0,0,5
gemini-2.0-flash,dataset_Long_run1.jsonl,100,67,33,0,0,0,33
gemini-2.0-flash,dataset_Short_run1.jsonl,100,97,3,0,0,0,3
gemini-2.5-flash,dataset_Long_run1.jsonl,100,98,2,0,0,0,2
gemini-2.5-flash,dataset_Short_run1.jsonl,100,100,0,0,0,0,0
gemini-3-flash-preview,dataset_Long_run1.jsonl,100,99,1,0,0,0,1
gemini-3-flash-preview,dataset_Short_run1.jsonl,100,100,0,0,0,0,0
gemini-3-pro-preview,dataset_Long_run1.jsonl,100,100,0,0,0,0,0
gemini-3-pro-preview,dataset_Short_run1.jsonl,100,100,0,0,0,0,0
glm-4.7,dataset_Long_run1.jsonl,100,99,1,0,0,0,1
glm-4.7,dataset_Short_run1.jsonl,100,100,0,0,0,0,0
gpt-4.1,dataset_Long_run1.jsonl,100,98,2,0,0,0,2
gpt-4.1,dataset_Short_run1.jsonl,100,100,0,0,0,0,0
gpt-5-chat-latest,dataset_Long_run1.jsonl,100,97,3,0,0,0,3
gpt-5-chat-latest,dataset_Short_run1.jsonl,100,100,0,0,0,0,0
gpt-5-mini,dataset_Long_run1.jsonl,100,88,12,0,0,0,12
gpt-5-mini,dataset_Short_run1.jsonl,100,97,3,0,0,0,3
grok-4.1,dataset_Long_run1.jsonl,100,41,59,0,0,0,59
grok-4.1,dataset_Short_run1.jsonl,100,71,29,0,0,0,29
grok-4.1-fast,dataset_Long_run1.jsonl,100,46,54,0,0,0,54
grok-4.1-fast,dataset_Short_run1.jsonl,100,72,28,0,0,0,28
kimi-k2,dataset_Long_run1.jsonl,100,100,0,0,0,0,0
kimi-k2,dataset_Short_run1.jsonl,100,99,1,0,0,1,0
llama-3-8b,dataset_Long_run1.jsonl,100,78,22,0,1,0,21
llama-3-8b,dataset_Short_run1.jsonl,100,85,15,0,0,1,14
llama-3.1-405b,dataset_Long_run1.jsonl,100,80,20,0,0,0,20
llama-3.1-405b,dataset_Short_run1.jsonl,100,90,10,0,0,0,10
llama-3.1-70b,dataset_Long_run1.jsonl,100,94,6,0,1,0,5
llama-3.1-70b,dataset_Short_run1.jsonl,100,100,0,0,0,0,0
mistral-large-latest,dataset_Long_run1.jsonl,100,84,16,0,1,0,15
mistral-large-latest,dataset_Short_run1.jsonl,100,95,5,0,0,0,5
murasaki-8b-v0.1,dataset_long_8B-Step150-Q4_K_M_run.jsonl,99,99,0,0,0,0,0
murasaki-8b-v0.1,dataset_short_8B-Step150-Q4_K_M_run.jsonl,100,100,0,0,0,0,0
o3,dataset_Long_run1.jsonl,88,85,3,0,0,0,3
o3,dataset_Short_run1.jsonl,99,99,0,0,0,0,0
o3-mini,dataset_Long_run1.jsonl,100,97,3,0,0,0,3
o3-mini,dataset_Short_run1.jsonl,100,99,1,0,0,0,1
qwen3-14b,dataset_Long_run1.jsonl,100,90,10,0,0,0,10
qwen3-14b,dataset_Short_run1.jsonl,100,98,2,0,0,0,2
qwen3-235b-a22b,dataset_Long_run1.jsonl,100,52,48,0,0,0,48
qwen3-235b-a22b,dataset_Short_run1.jsonl,100,92,8,0,0,0,8
qwen3-32b,dataset_Long_run1.jsonl,100,56,44,0,1,0,43
qwen3-32b,dataset_Short_run1.jsonl,100,91,9,0,0,0,9
qwen3-8b,dataset_Long_run1.jsonl,100,27,73,0,0,0,73
qwen3-8b,dataset_Short_run1.jsonl,100,22,78,0,0,0,78
Sakura-qwen-2.5-14B,dataset_Long_run1.jsonl,100,100,0,0,0,0,0
Sakura-qwen-2.5-14B,dataset_Short_run1.jsonl,100,100,0,0,0,0,0
translategemma-12b,translategemma-12b-it_raw.jsonl,200,199,1,0,0,0,1
translategemma-4b,translategemma-4b-it_raw.jsonl,200,184,16,11,2,1,2
