model,split,comet,valid,total
Murasaki-8B-v0.1-IQ3_M,long,0.8753869479894638,100,100
Murasaki-8B-v0.1-IQ3_M,short,0.8224091184139252,100,100
Murasaki-8B-v0.1-IQ4_XS,long,0.8777633994817734,100,100
Murasaki-8B-v0.1-IQ4_XS,short,0.8268776094913483,100,100
Murasaki-8B-v0.1-Q4_K_M,long,0.876687896974159,99,99
Murasaki-8B-v0.1-Q4_K_M,short,0.8223254263401032,100,100
Murasaki-8B-v0.1-Q5_K_M,long,0.8779009997844696,100,100
Murasaki-8B-v0.1-Q5_K_M,short,0.8291048192977906,100,100
Murasaki-8B-v0.1-Q6_K,long,0.8767252832651138,100,100
Murasaki-8B-v0.1-Q6_K,short,0.8264043432474136,100,100
Murasaki-8B-v0.2-IQ4_XS,long,0.8773081183433533,100,100
Murasaki-8B-v0.2-IQ4_XS,short,0.8270596265792847,100,100
Murasaki-8B-v0.2-Q4_K_M,long,0.8772898787260055,100,100
Murasaki-8B-v0.2-Q4_K_M,short,0.8273452317714691,100,100
Murasaki-14B-v0.2-IQ4_XS,long,0.8800901114940644,100,100
Murasaki-14B-v0.2-IQ4_XS,short,0.828920990228653,100,100
