model,split,comet,valid,total
Murasaki-8B-v0.1-IQ3_M,long,0.875386945605278,100,100
Murasaki-8B-v0.1-IQ3_M,short,0.822409119606018,100,100
Murasaki-8B-v0.1-IQ4_XS,long,0.8777633702754974,100,100
Murasaki-8B-v0.1-IQ4_XS,short,0.8268775820732117,100,100
Murasaki-8B-v0.1-Q4_K_M,long,0.8766878752997427,99,99
Murasaki-8B-v0.1-Q4_K_M,short,0.8223254215717316,100,100
Murasaki-8B-v0.1-Q5_K_M,long,0.877900972366333,100,100
Murasaki-8B-v0.1-Q5_K_M,short,0.8291048312187195,100,100
Murasaki-8B-v0.1-Q6_K,long,0.8767252629995346,100,100
Murasaki-8B-v0.1-Q6_K,short,0.8264043593406677,100,100
